#{"t_start": 1775617342.4395812, "env_id": "None"}
r,l,t
-0.018952,100,295.57875
-0.018497,100,296.245367
-0.019529,100,296.466456
-0.01924,100,296.791731
-0.020388,100,297.068874
-0.019549,100,297.29276
-0.020654,100,297.518925
-0.020155,100,297.765364
-0.020672,100,298.025248
-0.019586,100,298.204097
-0.023371,100,298.398818
-0.021484,100,298.604485
-0.022306,100,298.765935
-0.015445,100,298.937384
-0.022571,100,299.148347
-0.023921,100,299.361375
-0.017713,100,299.525129
-0.025798,100,299.729361
-0.02165,100,299.926193
-0.020757,100,300.116074
-0.020474,100,300.366209
-0.022739,100,303.201132
-0.019107,100,303.365626
-0.020981,100,303.538267
-0.024905,100,303.746559
-0.022417,100,303.938521
-0.019884,100,304.114121
-0.021859,100,304.358616
-0.024948,100,304.549378
-0.021146,100,304.741705
-0.019773,100,304.940514
-0.024072,100,305.117975
-0.02232,100,305.290908
-0.020891,100,305.460197
-0.021768,100,305.634689
-0.021675,100,305.86512
-0.022606,100,306.083393
-0.023775,100,306.256387
-0.019021,100,306.432605
-0.026647,100,306.632257
-0.020185,100,306.840067
-0.02129,100,309.098164
-0.023537,100,309.329251
-0.01894,100,309.542933
-0.01742,100,309.741411
-0.019859,100,309.942742
-0.019189,100,310.135634
-0.020349,100,310.372679
-0.017314,100,310.612082
-0.020018,100,310.84158
-0.020385,100,311.047817
-0.019975,100,311.232224
-0.01875,100,311.431483
-0.021226,100,311.634052
-0.020107,100,311.821101
-0.022572,100,312.001966
-0.018697,100,312.206169
-0.02184,100,312.410475
-0.024037,100,312.623314
-0.02256,100,312.797555
-0.023567,100,312.977105
-0.02156,100,313.704866
-0.021496,100,315.932339
-0.018973,100,316.144813
-0.023718,100,316.326854
-0.022225,100,316.553664
-0.021297,100,316.758138
-0.02454,100,316.925033
-0.022365,100,317.130369
-0.020294,100,317.311668
-0.019567,100,317.506728
-0.020378,100,317.711498
-0.021368,100,317.892891
-0.02089,100,318.06282
-0.021632,100,318.254846
-0.019555,100,318.447376
-0.021377,100,318.649008
-0.02024,100,318.873774
-0.022281,100,319.122688
-0.019619,100,319.365278
-0.022588,100,319.627155
-0.022847,100,320.400048
-0.023715,100,322.724389
-0.02051,100,322.94181
-0.018922,100,323.156378
-0.023213,100,323.35417
-0.022086,100,323.538968
-0.020244,100,323.759653
-0.02227,100,323.941303
-0.018551,100,324.11899
-0.022183,100,324.299977
-0.019996,100,324.483007
-0.017816,100,324.672438
-0.024395,100,324.862783
-0.020826,100,325.04896
-0.020221,100,325.231838
-0.020319,100,325.434383
-0.020004,100,325.63147
-0.023083,100,325.857985
-0.020868,100,326.080421
-0.021601,100,326.297412
-0.020453,100,327.181013
-0.01986,100,327.471017
-0.018437,100,329.841881
-0.02153,100,330.034001
-0.02124,100,330.218641
-0.020866,100,330.411129
-0.020819,100,330.613311
-0.019153,100,330.809574
-0.020473,100,330.996818
-0.018263,100,331.190865
-0.020992,100,331.381995
-0.019051,100,331.572871
-0.028231,100,331.76571
-0.021876,100,331.964621
-0.021018,100,332.16819
-0.022674,100,332.356704
-0.019857,100,332.561587
-0.024797,100,332.755265
-0.018993,100,332.949838
-0.018911,100,333.144897
-0.020964,100,333.911325
-0.022331,100,334.1526
-0.024254,100,336.581548
-0.023123,100,336.774265
-0.01853,100,336.962394
-0.01854,100,337.172623
-0.024817,100,337.379101
-0.020276,100,337.566426
-0.017484,100,337.753843
-0.023966,100,337.957822
-0.019909,100,338.163607
-0.017467,100,338.395403
-0.021833,100,338.616216
-0.016379,100,338.838783
-0.020287,100,339.044777
-0.020764,100,339.272051
-0.024754,100,339.514919
-0.025514,100,339.731857
-0.023555,100,339.94821
-0.01881,100,339.467358
-0.025164,100,340.264784
-0.021634,100,340.462363
-0.017222,100,340.675859
-0.020258,100,343.276429
-0.026142,100,343.50165
-0.019185,100,343.723179
-0.021004,100,344.033485
-0.020707,100,344.296288
-0.022678,100,344.510433
-0.02722,100,344.70924
-0.020227,100,344.927322
-0.020765,100,345.142853
-0.02159,100,345.350561
-0.022949,100,345.550297
-0.017535,100,345.750083
-0.021265,100,345.965174
-0.016275,100,346.213319
-0.020801,100,346.42441
-0.018873,100,346.630314
-0.021453,100,346.837881
-0.023717,100,347.647955
-0.01769,100,347.891064
-0.019613,100,348.167673
